,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1982,929.18,1448.61,885.30,459.82,1445.49,833.44,686.30,1040.62,1085.49,1108.94,1361.13,1299.43,2106.01,885.35,1175.99,1238.66,1216.72,876.50,1320.98,1507.40,1034.70,1112.60,1050.51,1002.58,913.00,1549.29,1313.71,706.02,869.66,457.90,1073.78,1009.80,533.12,1101.12,1330.62,648.71,1113.41,1056.94,991.98,1099.98,1074.04,1289.70,775.62,1439.20,752.01,561.04,1041.15,1200.29,1222.07,1307.85,1095.85,693.49
1983,926.60,1533.01,788.03,497.54,1194.29,1088.84,748.97,1520.80,1328.20,1264.37,1543.37,1387.36,1264.75,907.12,1088.28,1142.66,991.18,920.82,1252.03,1614.37,1437.76,1275.02,1452.92,1021.89,850.03,1600.90,1157.33,548.74,798.74,561.53,1438.92,1465.85,467.98,1310.47,1406.36,503.76,1159.89,981.95,1139.43,1243.68,1448.82,1427.89,630.60,1350.72,751.13,634.69,1349.60,1229.16,1322.22,1273.59,1022.26,641.72
1984,859.43,1137.85,794.90,432.89,1538.21,514.36,726.03,1262.09,1176.73,1154.40,1084.32,1135.98,1538.86,815.29,1184.34,1162.04,1091.94,878.00,1393.96,1313.44,1200.27,1195.16,1256.93,954.95,823.31,1255.36,1318.92,531.30,763.51,364.36,1256.75,1288.79,625.76,1218.22,1280.47,541.74,1213.42,1044.04,984.16,1297.49,1193.01,1198.13,615.93,1366.29,742.94,494.92,1227.06,1148.97,1185.43,1360.89,969.56,541.81
1985,860.10,1244.19,977.57,409.48,1227.15,405.84,679.34,1008.17,939.77,1002.22,1215.63,1165.36,1560.28,603.55,1298.22,1240.76,1015.53,950.98,1254.27,1312.28,918.86,1000.98,1022.26,1122.15,916.95,1162.73,1350.59,572.27,739.59,307.28,994.28,951.07,569.38,1164.38,1306.29,592.97,1168.16,1112.44,614.36,1093.08,973.40,1244.09,612.16,1264.71,806.56,482.46,1074.48,1166.05,786.93,1375.79,1105.51,508.32
1986,877.84,1088.66,885.37,425.91,1068.78,646.37,676.27,1232.35,1067.82,918.28,1223.94,1073.62,1838.26,741.74,1098.48,1108.82,1184.77,939.91,1161.83,1274.71,1152.47,1010.49,1287.91,974.43,891.09,1179.37,1149.28,659.17,835.94,309.54,1248.74,1180.74,669.32,1314.78,1091.26,632.23,1099.12,1061.03,863.33,1208.96,1270.66,1111.36,779.92,1187.90,927.43,487.29,1265.54,965.79,1036.99,1259.01,978.65,629.52
1987,830.84,1164.72,945.55,403.00,1300.92,543.54,648.02,1152.00,1004.47,979.31,1358.83,1224.25,1739.06,561.49,1006.07,952.33,922.55,955.81,1027.75,1433.48,1030.29,1016.30,1114.76,911.81,643.56,1303.25,1093.69,483.14,755.97,375.27,1094.66,1174.05,499.68,1173.11,1184.18,450.33,1002.63,1083.66,738.21,1166.59,1119.50,1274.10,537.92,1125.78,817.46,474.25,1140.21,1146.32,903.81,1253.22,852.77,507.98
1988,757.81,1196.64,923.27,351.24,1160.66,453.72,590.28,1078.83,990.67,923.46,1169.37,1054.83,1583.66,588.25,844.34,964.95,654.53,658.58,1085.67,1319.26,1095.55,950.46,1049.81,932.78,675.56,1232.73,960.10,453.94,612.90,289.91,1109.12,1008.68,521.52,1100.34,1076.29,380.52,941.95,910.14,783.56,993.24,1048.82,1093.11,483.07,1127.38,636.18,359.69,1130.58,948.15,1027.89,1062.91,784.26,439.44
1989,813.64,1456.98,919.51,222.71,1368.06,408.80,535.48,1386.43,1456.84,1332.67,1070.00,1305.96,1932.54,622.01,930.36,1141.27,769.96,738.14,1459.40,1359.36,1083.62,1404.53,1193.40,783.15,621.06,1453.88,962.53,655.98,524.96,242.83,1174.14,1475.48,366.47,1220.10,1579.85,449.25,1191.62,951.05,701.07,1309.32,1228.64,1470.20,510.71,1627.33,741.51,288.52,1214.49,1366.90,974.96,1493.92,701.40,517.04
1990,866.62,1120.95,924.04,381.39,1508.43,388.80,639.53,1321.40,1057.55,1095.54,831.48,972.13,2045.74,664.20,1278.84,1362.65,1138.38,859.71,1476.79,1258.96,1279.77,1126.60,1256.94,1078.51,786.17,1235.31,1352.32,519.66,694.80,293.33,1305.13,1143.19,495.09,1417.40,1186.10,435.30,1410.68,1142.40,794.83,1377.58,1244.75,1042.94,520.24,1447.07,851.37,391.53,1393.53,1214.49,1323.11,1569.01,1027.19,540.02
1991,871.01,1526.37,908.31,359.87,1529.59,510.52,631.14,1194.81,1044.92,974.39,1264.83,1330.27,1607.69,646.55,1059.86,972.33,1091.71,708.79,1255.99,1721.73,1098.88,988.91,1147.28,993.96,918.67,1584.14,1114.89,593.02,706.81,325.99,1143.69,1115.68,577.84,1092.89,1234.63,618.10,892.65,1018.36,732.25,996.91,1135.19,1327.27,666.63,1452.70,943.25,412.75,1143.28,1000.49,1016.74,1225.22,1045.70,566.24
