,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1983,4.36,12.27,-7.11,9.77,10.77,9.25,0.59,6.93,10.26,9.66,17.08,12.41,17.89,0.79,7.40,7.52,5.18,7.24,8.95,14.07,2.13,9.30,6.01,3.85,1.75,12.36,8.30,0.62,4.29,4.53,2.88,8.44,5.76,4.03,10.42,0.98,7.06,10.06,3.53,5.50,7.45,12.06,3.09,9.65,12.49,3.94,2.06,8.70,4.31,6.69,3.21,-0.14
1984,4.07,12.80,-8.40,9.68,11.39,9.09,0.14,6.77,10.16,9.75,17.16,12.88,18.23,-0.22,7.21,7.26,4.90,7.37,9.25,15.07,1.57,9.25,5.83,3.38,1.18,13.07,8.39,0.38,4.28,4.05,2.53,8.31,5.58,3.85,10.83,0.57,6.77,10.49,2.70,5.45,7.32,12.49,2.91,10.01,13.25,2.77,1.75,9.11,3.56,7.21,2.81,-0.86
1985,3.83,13.01,-7.48,9.56,11.22,8.34,0.27,6.53,10.37,10.07,17.74,13.34,17.94,-1.25,6.57,6.94,3.72,6.68,9.06,15.11,0.88,9.44,5.44,3.07,-0.26,13.09,7.72,-1.22,3.17,3.49,2.06,8.46,5.87,3.65,11.13,-1.15,6.64,10.43,1.53,5.42,6.97,12.91,1.25,9.94,13.23,3.08,1.32,9.29,2.45,7.08,1.87,-1.42
1986,4.81,13.52,-7.35,10.15,12.11,9.43,1.25,6.31,10.13,9.87,18.12,13.85,18.83,1.04,7.78,7.82,5.34,8.36,9.77,15.57,0.79,9.31,5.23,3.61,1.44,13.59,9.24,1.08,5.09,5.44,2.06,8.24,6.14,3.81,11.56,0.96,7.42,11.43,3.86,5.73,6.71,13.60,3.17,10.57,13.83,4.19,1.47,9.26,4.47,7.37,3.01,0.43
1987,4.72,12.71,-6.98,9.21,11.59,9.10,0.77,6.40,10.02,9.78,17.40,12.75,18.35,0.88,8.17,7.94,6.42,8.05,9.51,14.55,1.52,9.32,5.29,4.83,3.17,12.88,9.29,1.68,5.19,4.89,2.34,8.25,5.14,4.04,10.70,2.66,7.47,10.71,3.65,5.80,6.69,12.40,4.26,10.22,12.64,3.53,1.67,8.91,4.66,7.25,4.43,0.16
1988,4.23,12.26,-6.99,9.66,10.85,9.15,0.56,6.22,9.53,9.18,17.14,12.22,18.53,0.78,6.67,6.66,4.41,7.13,8.42,14.47,1.39,8.69,5.35,3.21,0.77,12.50,7.93,1.07,4.17,4.44,2.14,7.77,5.60,3.42,10.01,0.59,6.17,10.09,3.33,5.02,6.82,11.78,2.76,9.28,12.72,3.52,1.47,8.12,4.32,6.20,2.42,0.26
1989,4.00,12.66,-7.00,10.20,10.86,8.66,0.81,5.96,9.88,9.42,17.72,12.99,18.30,0.13,6.26,6.50,3.61,6.37,8.70,14.81,0.34,8.96,4.92,2.27,-0.49,12.76,7.44,-0.28,3.45,3.97,1.38,7.96,6.27,2.87,10.90,-0.75,6.11,9.72,2.63,5.07,6.43,12.78,1.63,9.63,12.80,3.56,0.54,8.75,3.99,6.72,1.29,-0.43
1990,4.63,13.63,-7.89,9.35,12.24,8.59,0.82,7.57,11.09,10.74,18.63,13.85,18.45,0.46,8.09,8.13,5.43,7.85,10.16,15.65,2.13,10.26,6.53,4.05,1.32,13.82,9.23,0.66,4.63,4.25,3.22,9.37,6.14,4.85,12.12,0.84,7.78,11.22,3.26,6.73,7.97,13.88,3.12,11.04,13.80,3.66,2.60,10.10,4.41,8.19,3.32,-0.14
1991,4.74,13.75,-7.02,9.27,12.29,8.80,0.59,7.45,10.92,10.65,18.59,13.88,18.38,0.36,8.16,8.31,5.19,8.08,10.27,15.64,1.60,10.16,6.36,4.14,1.34,13.90,9.22,0.91,4.85,4.28,2.86,9.23,5.76,4.64,11.78,1.17,7.98,11.17,3.30,6.63,7.82,13.60,3.38,11.10,13.48,3.23,2.23,9.96,4.29,8.10,3.00,-0.01
1992,4.29,12.67,-8.32,9.65,11.44,9.49,0.78,5.90,9.64,9.29,17.66,12.88,18.60,1.30,7.33,7.15,4.94,7.37,9.15,14.82,0.59,8.84,4.90,3.01,1.11,12.91,8.56,1.06,4.39,4.94,1.52,7.82,5.55,3.08,10.78,0.54,6.58,10.63,4.12,5.20,6.30,12.62,2.76,9.99,13.16,4.12,0.77,8.81,5.10,6.96,2.67,0.39
1993,4.25,12.69,-5.43,9.90,11.20,8.95,-0.11,6.45,10.20,9.71,17.51,12.89,18.07,-0.37,7.03,7.04,4.06,6.47,9.09,14.70,0.66,9.23,5.33,3.03,0.12,12.87,7.96,-0.62,3.20,3.75,1.85,8.38,6.02,3.32,10.94,-0.78,6.72,9.94,2.35,5.39,6.92,12.78,1.45,10.10,12.87,2.93,1.05,8.99,3.52,6.98,2.25,-1.34
1994,4.51,13.21,-7.60,10.47,11.80,8.94,0.83,6.46,10.60,10.03,18.32,13.33,18.40,0.93,7.38,7.39,4.30,7.40,9.35,15.37,1.17,9.44,5.56,3.11,1.05,13.44,8.58,0.45,4.43,4.89,2.24,8.58,7.01,3.48,11.16,-0.18,6.61,10.57,3.70,5.33,7.04,13.09,2.45,10.38,13.73,4.12,1.39,9.10,4.47,6.82,2.77,0.58
1995,4.69,13.01,-6.45,10.74,11.78,9.54,0.71,6.82,10.63,10.20,17.78,12.97,18.56,0.89,7.39,7.26,4.82,7.06,9.39,15.41,1.39,9.55,5.83,3.44,1.01,13.32,8.36,0.10,4.38,5.09,2.49,8.78,7.06,4.00,10.86,-0.15,6.44,10.34,4.18,5.53,7.20,12.70,2.69,10.40,13.50,4.28,1.91,9.03,4.31,6.72,2.81,0.12
1996,3.91,12.29,-8.17,11.08,11.23,9.78,0.44,6.29,9.93,9.48,17.18,12.32,18.81,0.44,6.32,6.44,3.22,6.54,8.80,14.98,1.38,8.88,5.36,2.35,-0.63,12.89,7.50,-1.37,2.98,5.30,2.27,8.14,7.06,3.51,10.42,-2.01,6.11,10.03,3.63,5.07,6.62,12.20,0.56,9.84,13.33,4.22,1.59,8.50,3.17,6.34,1.26,-0.62
1997,4.33,12.49,-6.57,10.08,11.23,9.49,0.01,6.38,10.11,9.57,18.00,12.78,18.65,0.59,6.84,6.67,4.19,6.97,8.84,15.02,0.59,9.09,5.25,3.02,0.89,12.88,8.02,0.34,4.22,4.81,1.64,8.22,5.64,3.29,10.47,0.09,6.27,10.20,3.71,5.11,6.86,12.46,2.37,9.81,12.82,3.48,0.86,8.44,4.11,6.34,2.49,-0.38
